DEBUG [nes] Loaded rom:"nestest.nes"
INFO [nes::cpu] C96C  B0 09     BCS A:FF X:00 Y:00 P:B4 SP:FB
INFO [nes::cpu] C96E  C9 FF     CMP A:FF X:00 Y:00 P:B4 SP:FB
INFO [nes::cpu] C970  D0 05     BNE A:FF X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C972  70 03     BVS A:FF X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C974  4C 7B     JMP A:FF X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C97B  EA 38     NOP A:FF X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C97C  38 B8     SEC A:FF X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C97D  B8 A9     CLV A:FF X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C97E  A9 7F     LDA A:FF X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C980  69 80     ADC A:7F X:00 Y:00 P:35 SP:FB
INFO [nes::cpu] C982  D0 09     BNE A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C984  30 07     BMI A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C986  70 05     BVS A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C988  90 03     BCC A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C98A  4C 91     JMP A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C991  EA 38     NOP A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C992  38 B8     SEC A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C993  B8 A9     CLV A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C994  A9 9F     LDA A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C996  F0 09     BEQ A:9F X:00 Y:00 P:B5 SP:FB
INFO [nes::cpu] C998  10 07     BPL A:9F X:00 Y:00 P:B5 SP:FB
INFO [nes::cpu] C99A  70 05     BVS A:9F X:00 Y:00 P:B5 SP:FB
INFO [nes::cpu] C99C  90 03     BCC A:9F X:00 Y:00 P:B5 SP:FB
INFO [nes::cpu] C99E  4C A5     JMP A:9F X:00 Y:00 P:B5 SP:FB
INFO [nes::cpu] C9A5  EA 18     NOP A:9F X:00 Y:00 P:B5 SP:FB
INFO [nes::cpu] C9A6  18 24     CLC A:9F X:00 Y:00 P:B5 SP:FB
INFO [nes::cpu] C9A7  24 01     BIT A:9F X:00 Y:00 P:B4 SP:FB
INFO [nes::cpu] C9A9  A9 00     LDA A:9F X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C9AB  D0 09     BNE A:00 X:00 Y:00 P:76 SP:FB
INFO [nes::cpu] C9AD  30 07     BMI A:00 X:00 Y:00 P:76 SP:FB
INFO [nes::cpu] C9AF  50 05     BVC A:00 X:00 Y:00 P:76 SP:FB
INFO [nes::cpu] C9B1  B0 03     BCS A:00 X:00 Y:00 P:76 SP:FB
INFO [nes::cpu] C9B3  4C BA     JMP A:00 X:00 Y:00 P:76 SP:FB
INFO [nes::cpu] C9BA  EA 24     NOP A:00 X:00 Y:00 P:76 SP:FB
INFO [nes::cpu] C9BB  24 01     BIT A:00 X:00 Y:00 P:76 SP:FB
INFO [nes::cpu] C9BD  A9 40     LDA A:00 X:00 Y:00 P:F6 SP:FB
INFO [nes::cpu] C9BF  C9 40     CMP A:40 X:00 Y:00 P:74 SP:FB
INFO [nes::cpu] C9C1  30 09     BMI A:40 X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C9C3  90 07     BCC A:40 X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C9C5  D0 05     BNE A:40 X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C9C7  50 03     BVC A:40 X:00 Y:00 P:77 SP:FB
